"Moscow" (55.7558, 37.6178) 17125000
"Uvarovo" (51.9833, 42.2667) 23987
"Sharya" (58.3667, 45.5000) 23976
"Kalach-na-Donu" (48.6833, 43.5333) 23947
"Buy" (58.4833, 41.5167) 23809
"Kuvandyk" (51.4833, 57.3500) 23763
"Tatarsk" (55.2167, 75.9667) 23729
"Kotelnich" (58.3089, 48.3481) 23682
"Zheleznogorsk-Ilimskiy" (56.5833, 104.1167) 23643
"Bogotol" (56.2000, 89.5167) 23622
"Ipatovo" (45.7167, 42.9000) 23579
"Tayga" (56.0667, 85.6167) 23565
"Unecha" (52.8500, 32.6833) 23550
"Davlekanovo" (54.2167, 55.0333) 23499
"Lensk" (60.7167, 114.9000) 23479
"Severobaykalsk" (55.6333, 109.3167) 23365
"Sredneuralsk" (56.9833, 60.4667) 23353
"Achkhoy-Martan" (43.1939, 45.2833) 23282
"Zeya" (53.7333, 127.2500) 23270
"Kolpashevo" (58.3167, 82.9167) 23209
"Nevyansk" (57.4833, 60.2000) 23200
"Tashtagol" (52.7667, 87.8667) 23107
"Gusinoozërsk" (51.2833, 106.5167) 23082
"Fokino" (42.9667, 132.4000) 23077
"Krasnouralsk" (58.3500, 60.0500) 22996
"Krasnoarmeysk" (51.0167, 45.7000) 22994
"Elektrogorsk" (55.8833, 38.7833) 22950
"Isilkul" (54.9089, 71.2606) 22903
"Guryevsk" (54.2833, 85.9333) 22872
"Velsk" (61.0667, 42.1000) 22776
"Kalachinsk" (55.0500, 74.5833) 22737
"Lermontov" (44.1053, 42.9717) 22601
"Bronnitsy" (55.4220, 38.2631) 22567
"Zvenigorod" (55.7333, 36.8500) 22513
"Staraya Kupavna" (55.8000, 38.1833) 22476
"Khadyzhensk" (44.4239, 39.5372) 22468
"Mendeleyevsk" (55.9000, 52.3167) 22336
"Nikolskoye" (59.7000, 30.7833) 22286
"Bavly" (54.4000, 53.2500) 22145
"Kommunar" (59.6217, 30.3936) 22055
"Ust’-Katav" (54.9333, 58.1667) 22042
"Semikarakorsk" (47.5167, 40.8000) 22030
"Omutninsk" (58.6667, 52.1833) 22009
"Kotovo" (50.3167, 44.8000) 21990
"Vilyuchinsk" (52.9333, 158.4000) 21973
"Vereshchagino" (58.0667, 54.6500) 21969
"Svetlyy" (54.6833, 20.1333) 21928
"Ryazhsk" (53.7167, 40.0667) 21457
"Palatka" (60.1000, 150.9000) 21452
"Tarko-Sale" (64.9147, 77.7728) 21448
"Khotkovo" (56.2500, 37.9833) 21349
"Chernogolovka" (56.0147, 38.3897) 21342
"Lyskovo" (56.0128, 45.0253) 21321
"Pushchino" (54.8333, 37.6167) 21281
"Nerekhta" (57.4500, 40.5833) 21262
"Bologoye" (57.8787, 34.0789) 21158
"Vikhorevka" (56.1167, 101.1667) 21118
"Karachayevsk" (43.7667, 41.9000) 21067
"Toguchin" (55.2333, 84.3833) 21064
"Sysert" (56.5000, 60.8167) 21029
"Dudinka" (69.4000, 86.1833) 21015
"Nizhniy Lomov" (53.5333, 43.6833) 20943
"Osa" (57.2833, 55.4500) 20899
"Buinsk" (54.9667, 48.2833) 20854
"Olenegorsk" (68.1500, 33.2833) 20847
"Kurovskoye" (55.5833, 38.9167) 20844
"Kaltan" (53.5167, 87.2667) 20841
"Elektrougli" (55.7167, 38.2167) 20823
"Dugulubgey" (43.6500, 43.5500) 20718
"Okha" (53.5833, 142.9333) 20715
"Bobrov" (51.0944, 40.0322) 20605
"Aldan" (58.6000, 125.3833) 20595
"Nikolsk" (53.7167, 46.0833) 20572
"Arsk" (56.0906, 49.8764) 20540
"Tyrnyauz" (43.4000, 42.9167) 20513
"Kozmodemyansk" (56.3419, 46.5636) 20505
"Ostrov" (57.3333, 28.3500) 20427
"Roshal" (55.6667, 39.8833) 20418
"Sergach" (55.5333, 45.4667) 20269
"Pikalëvo" (59.5208, 34.1514) 20183
"Kotelnikovo" (47.6333, 43.1333) 20172
"Kubinka" (55.5764, 36.6947) 20157
"Shakhunya" (57.6833, 46.6000) 20049
"Alagir" (43.0417, 44.2106) 20043
"Kyakhta" (50.3500, 106.4500) 20031
"Tsotsin-Yurt" (43.2419, 46.0000) 20013
"Usman" (52.0500, 39.7333) 19956
"Yeniseysk" (58.4667, 92.1333) 19920
"Nizhnyaya Tura" (58.6208, 59.8478) 19883
"Gubakha" (58.8667, 57.5833) 19831
"Volokolamsk" (56.0333, 35.9500) 19824
"Nyandoma" (61.6667, 40.2000) 19783
"Bachi-Yurt" (43.2191, 46.1926) 19727
"Agryz" (56.5167, 52.9833) 19704
"Rybnoye" (54.7333, 39.5167) 19700
"Cherepanovo" (54.2167, 83.3667) 19610
"Yershov" (51.3500, 48.2833) 19590
"Beloyarskiy" (63.7167, 66.6667) 19542
"Terek" (43.4833, 44.1333) 19494
"Kovylkino" (54.0333, 43.9167) 19488
"Lodeynoye Pole" (60.7333, 33.5500) 19458
"Zverevo" (48.0200, 40.1200) 19456
"Ardon" (43.1667, 44.2833) 19412
"Rayevskiy" (54.0658, 54.9467) 19384
"Lebedyan" (53.0116, 39.1281) 19288
"Kirovgrad" (57.4333, 60.0667) 19277
"Bakal" (54.9333, 58.8000) 19264
"Abdulino" (53.6833, 53.6500) 19222
"Uzhur" (55.3167, 89.8167) 19212
"Nikolayevsk-na-Amure" (53.1500, 140.7333) 19135
"Ekazhevo" (43.2122, 44.8231) 19036
"Proletarsk" (46.7031, 41.7192) 19032
"Onega" (63.9167, 38.0833) 19030
"Dankov" (53.2500, 39.1500) 19017
"Goyty" (43.1642, 45.6228) 18939
"Nelidovo" (56.2167, 32.7833) 18883
"Kalach" (50.4258, 41.0156) 18834
"Sortavala" (61.7000, 30.6667) 18801
"Lgov" (51.6667, 35.2667) 18774
"Novyy Oskol" (50.7667, 37.8667) 18763
"Surovikino" (48.6000, 42.8500) 18685
"Kavalerovo" (44.2702, 135.0498) 18657
"Shimanovsk" (52.0000, 127.6667) 18643
"Vanino" (49.0873, 140.2425) 18618
"Starodub" (52.5833, 32.7667) 18615
"Nytva" (57.9333, 55.3333) 18608
"Priozërsk" (61.0393, 30.1291) 18552
"Yur’yev-Pol’skiy" (56.5000, 39.6833) 18433
"Beloozërskiy" (55.4614, 38.4422) 18297
"Slyudyanka" (51.6594, 103.7061) 18287
"Neftegorsk" (52.8000, 51.1667) 17990
"Avtury" (43.1667, 46.0000) 17970
"Kharabali" (47.4000, 47.2500) 17968
"Kukmor" (56.1825, 50.9064) 17815
"Sobinka" (55.9900, 40.0167) 17799
"Golitsyno" (55.6147, 36.9872) 17651
"Inza" (53.8500, 46.3500) 17630
"Polyarnyy" (69.1983, 33.4561) 17605
"Plast" (54.3667, 60.8167) 17508
"Karachev" (53.1167, 34.9833) 17466
"Krasnokumskoye" (44.1778, 43.5000) 17451
"Suvorov" (54.1167, 36.5000) 17450
"Nizhnyaya Salda" (58.0833, 60.7167) 17373
"Raychikhinsk" (49.8000, 129.4000) 17372
"Shumikha" (55.2333, 63.2833) 17336
"Krasnoslobodsk" (48.7000, 44.5667) 17327
"Guryevsk" (54.7667, 20.6000) 17295
"Podporozhye" (60.9167, 34.1667) 17270
"Baymak" (52.5833, 58.3167) 17254
"Konstantinovsk" (47.5833, 41.1000) 17160
"Kusa" (55.3333, 59.4333) 17136
"Turinsk" (58.0333, 63.7000) 17060
"Gavrilov-Yam" (57.3000, 39.8500) 17057
"Menzelinsk" (55.7167, 53.0833) 17055
"Pokrov" (55.9178, 39.1750) 17025
"Povorino" (51.2000, 42.2500) 17025
"Galich" (58.3833, 42.3500) 16911
"Zhukovka" (53.5339, 33.7281) 16878
"Iglino" (54.8385, 56.4232) 16811
"Novomichurinsk" (54.0333, 39.7500) 16710
"Pochëp" (52.9333, 33.4500) 16687
"Kovdor" (67.5594, 30.4667) 16623
"Kurtamysh" (54.9000, 64.4333) 16579
"Seltso" (53.3694, 34.1000) 16554
"Volgorechensk" (57.4333, 41.1667) 16539
"Uchkeken" (43.9439, 42.5153) 16512
"Kozelsk" (54.0353, 35.7767) 16443
"Kirsanov" (52.6500, 42.7333) 16409
"Ostashkov" (57.1500, 33.1000) 16318
"Novoanninskiy" (50.5167, 42.6667) 16294
"Petrovsk-Zabaykal’skiy" (51.2833, 108.8333) 16213
"Babayurt" (43.5992, 46.7758) 16165
"Rylsk" (51.5667, 34.6833) 16147
"Kodinsk" (58.6000, 99.1833) 16116
"Kasli" (55.8833, 60.7500) 16013
"Degtyarsk" (56.7000, 60.1000) 16001
"Yaransk" (57.3033, 47.8688) 15985
"Kamyzyak" (46.1167, 48.0833) 15984
"Barysh" (53.6500, 47.1167) 15974
"Talitsa" (57.0125, 63.7292) 15941
"Bikin" (46.8167, 134.2500) 15928
"Plavsk" (53.7000, 37.3000) 15920
"Ivdel" (60.6833, 60.4333) 15888
"Katav-Ivanovsk" (54.7500, 58.2000) 15872
"Kalininsk" (51.5000, 44.4500) 15821
"Mamadysh" (55.7000, 51.4000) 15806
"Yasnogorsk" (54.4794, 37.6934) 15706
"Zhirnovsk" (50.9833, 44.7667) 15680
"Bolotnoye" (55.6667, 84.4000) 15629
"Anadyr" (64.7333, 177.5167) 15604
"Yasnyy" (51.0333, 59.8667) 15573
"Svetogorsk" (61.1083, 28.8583) 15546
"Sovetsk" (57.6013, 48.9386) 15538
"Privolzhsk" (57.3833, 41.2833) 15530
"Zelenogradsk" (54.9500, 20.4833) 15493
"Manturovo" (58.3333, 44.7667) 15452
"Krasnovishersk" (60.4000, 57.0667) 15359
"Abaza" (52.6500, 90.0833) 15335
"Chaltyr" (47.2848, 39.4823) 15334
"Poronaysk" (49.2167, 143.1000) 15311
"Shchigry" (51.8811, 36.9031) 15292
"Pestovo" (58.6000, 35.8167) 15269
"Boksitogorsk" (59.4833, 33.8500) 15249
"Aramil" (56.7000, 60.8333) 15236
"Belokurikha" (52.0000, 84.9833) 15160
"Kulunda" (52.5667, 78.9472) 15102
"Leninsk" (48.7000, 45.2000) 15064
"Zapolyarnyy" (69.4167, 30.8000) 15037
"Pallasovka" (50.0500, 46.8833) 14940
"Nerchinsk" (51.9833, 116.5833) 14919
"Gryazovets" (58.8833, 40.2500) 14916
"Pugachev" (52.0133, 48.8025) 14908
"Sukhinichi" (54.1000, 35.3500) 14901
"Kizel" (59.0500, 57.6500) 14883
"Udelnaya" (55.6333, 38.0333) 14870
"Kondrovo" (54.8064, 35.9278) 14857
"Chegdomyn" (51.1178, 133.0241) 14855
"Navashino" (55.5333, 42.2000) 14830
"Nevel" (56.0167, 29.9333) 14819
"Karabanovo" (56.3089, 38.7014) 14786
"Shlisselburg" (59.9500, 31.0333) 14763
"Danilov" (58.1833, 40.1833) 14746
"Arzgir" (45.3736, 44.2208) 14722
"Katyr-Yurt" (43.1700, 45.3711) 14720
"Tsivilsk" (55.8667, 47.4833) 14718
"Agidel" (55.9000, 53.9333) 14601
"Ust’-Ordynskiy" (52.8330, 104.7000) 14538
"Tsimlyansk" (47.6467, 42.0947) 14528
"Krasnyy Kut" (50.9500, 46.9667) 14483
"Polyarnyye Zori" (67.3658, 32.4981) 14421
"Chudovo" (59.1281, 31.6592) 14394
"Valday" (57.9667, 33.2500) 14379
"Medvezhyegorsk" (62.9171, 34.4569) 14340
"Lakinsk" (56.0169, 39.9494) 14330
"Kashin" (57.3600, 37.6039) 14287
"Yakhroma" (56.2833, 37.4833) 14275
"Ochër" (57.8833, 54.7167) 14226
"Zherdevka" (51.8333, 41.4667) 14214
"Venëv" (54.3500, 38.2667) 14211
"Geldagana" (43.2162, 46.0381) 14111
"Lukoyanov" (55.0383, 44.4978) 14104
"Trubchevsk" (52.5833, 33.7667) 14001
"Novoulyanovsk" (54.1500, 48.3833) 13990
"Dubovka" (49.0500, 44.8333) 13988
"Mayrtup" (43.2036, 46.1322) 13824
"Melenki" (55.3333, 41.6333) 13789
"Kupino" (54.3667, 77.3000) 13777
"Kuleshovka" (47.0794, 39.5378) 13692
"Svetlogorsk" (54.9333, 20.1500) 13663
"Nikolayevsk" (50.0167, 45.4500) 13660
"Ak-Dovurak" (51.1667, 90.6000) 13580
"Zhukovo" (55.0333, 36.7500) 13576
"Kudrovo" (59.9086, 30.5136) 13501
"Pervomaysk" (54.8667, 43.8000) 13496
"Golyshmanovo" (56.3819, 68.3715) 13424
"Oboyan" (51.2088, 36.2637) 13413
"Alleroy" (43.2172, 46.2822) 13405
"Akhty" (41.4647, 47.7400) 13405
"Ruza" (55.6989, 36.1953) 13403
"Mogocha" (53.7333, 119.7667) 13285
"Novouzensk" (50.4500, 48.1500) 13261
"Kasumkent" (41.6667, 48.1333) 13232
"Gvardeysk" (54.6500, 21.0667) 13227
"Belëv" (53.8000, 36.1333) 13180
"Uyar" (55.8167, 94.3167) 13167
"Zabaykalsk" (49.6514, 117.3269) 13154
"Kaspiyskiy" (45.3833, 47.3667) 13125
"Petushki" (55.9333, 39.4667) 13112
"Strunino" (56.3733, 38.5850) 13094
"Krasnozavodsk" (56.4381, 38.2294) 13076
"Chernigovka" (44.3333, 132.5667) 13046
"Divnoye" (45.9089, 43.3547) 12998
"Gornyak" (51.0000, 81.4667) 12972
"Svirsk" (53.0833, 103.3333) 12945
"Fokino" (53.4500, 34.4167) 12938
"Sim" (54.9931, 57.6983) 12893
"Vyazemskiy" (47.5333, 134.7500) 12889
"Syasstroy" (60.1333, 32.5667) 12824
"Gorokhovets" (56.2028, 42.6925) 12799
"Taldom" (56.7333, 37.5333) 12777
"Kalyazin" (57.2333, 37.8500) 12770
"Adygeysk" (44.8800, 39.1900) 12745
"Samashki" (43.2906, 45.3014) 12738
"Surkhakhi" (43.1875, 44.9019) 12734
"Staryye Atagi" (43.1126, 45.7339) 12720
"Shilka" (51.8500, 116.0333) 12663
"Snezhnogorsk" (69.1942, 33.2331) 12642
"Dalmatovo" (56.2667, 62.9167) 12631
"Yemva" (62.5833, 50.8500) 12630
"Baykalsk" (51.5172, 104.1561) 12629
"Yuzha" (56.5833, 42.0167) 12595
"Kataysk" (56.3000, 62.5667) 12565
"Petrov Val" (50.1333, 45.2167) 12544
"El’khotovo" (43.3333, 44.2000) 12501
"Kameshkovo" (56.3492, 40.9978) 12496
"Khvalynsk" (52.4833, 48.1000) 12391
"Alkhan-Kala" (43.2586, 45.5392) 12340
"Bodaybo" (57.8506, 114.1933) 12316
"Uren" (57.4667, 45.7833) 12309
"Mesker-Yurt" (43.2514, 45.9072) 12224
"Aleksandrovsk" (59.1667, 57.5833) 12222
"Sernovodsk" (43.3117, 45.1594) 12221
"Krasnyy Yar" (46.5331, 48.3456) 12214
"Botlikh" (42.6650, 46.2200) 12159
"Cherlak" (54.1605, 74.8200) 12122
"Toropets" (56.5000, 31.6333) 12048
"Islamey" (43.7114, 43.4233) 12001
"Krasnousol’skiy" (53.8947, 56.4686) 11991
"Volosovo" (59.4500, 29.4833) 11987
"Arkadak" (51.9333, 43.5000) 11895
"Novaya Lyalya" (59.0500, 60.6000) 11879
"Chaplygin" (53.2417, 39.9667) 11802
"Dolinsk" (47.3167, 142.8000) 11765
"Magdagachi" (53.4500, 125.8000) 11739
"Zayukovo" (43.6161, 43.3339) 11717
"Nyazepetrovsk" (56.0500, 59.6000) 11687
"Udachnyy" (66.4000, 112.3000) 11676
"Kem" (64.9500, 34.6000) 11604
"Likhoslavl" (57.1167, 35.4667) 11594
"Chegem Vtoroy" (43.6022, 43.6242) 11575
"Severnyy" (67.6083, 64.1233) 11562
"Zvenigovo" (55.9667, 48.0167) 11504
"Aginskoye" (51.1031, 114.5228) 11491
"Drezna" (55.7500, 38.8333) 11480
"Chkalovsk" (56.7667, 43.2500) 11462
"Nikel" (69.4081, 30.2206) 11437
"Sorsk" (54.0000, 90.2500) 11416
"Yuryuzan" (54.8667, 58.4333) 11415
"Chekmagush" (55.1411, 54.6500) 11382
"Gornozavodsk" (58.3833, 58.3167) 11375
"Pionerskiy" (54.9500, 20.2167) 11312
"Boguchar" (49.9333, 40.5500) 11270
"Tetyushi" (54.9333, 48.8333) 11250
"Boguchany" (58.3667, 97.4500) 11232
"Korablino" (53.9167, 40.0167) 11220
"Chulym" (55.1000, 80.9667) 11216
"Kursavka" (44.4600, 42.4953) 11215
"Zakamensk" (50.3833, 103.2833) 11164
"Baley" (51.5833, 116.6333) 11151
"Kirensk" (57.7833, 108.1000) 11139
"Nazyvayevsk" (55.5667, 71.3500) 11101
"Vilyuysk" (63.7500, 121.6167) 11095
"Alatyr" (54.8500, 46.5833) 11086
"Narimanov" (46.6833, 47.8500) 11079
"Sosnovka" (56.2500, 51.2833) 11027
"Shalushka" (43.5261, 43.5594) 11004
"Karabash" (55.4833, 60.2000) 10999
"Shagonar" (51.5333, 92.9000) 10995
"Borovsk" (55.2000, 36.4833) 10966
"Verkhniy Tagil" (57.3833, 59.9333) 10962
"Neman" (55.0333, 22.0333) 10931
"Kamen’-Rybolov" (44.7667, 132.0167) 10909
"Zasechnoye" (53.1142, 45.0601) 10906
"Kandry" (54.5667, 54.1167) 10885
"Surazh" (53.0167, 32.4000) 10884
"Mesyagutovo" (55.5322, 58.2550) 10883
"Khorol" (44.4250, 132.0750) 10860
"Khasanya" (43.4333, 43.5750) 10829
"Praskoveya" (44.7444, 44.2031) 10721
"Zavitinsk" (50.1167, 129.4333) 10721
"Nadezhda" (45.0448, 42.1104) 10695
"Yuzhno-Sukhokumsk" (44.6667, 45.6500) 10641
"Sosenskiy" (54.0500, 35.9667) 10628
"Khilok" (51.3500, 110.4500) 10607
"Malaya Vishera" (58.8500, 32.2167) 10602
"Peschanokopskoye" (46.1961, 41.0775) 10593
"Vysokovsk" (56.3167, 36.5500) 10586
"Zmeinogorsk" (51.1580, 82.1874) 10533
"Vorsma" (55.9833, 43.2667) 10491
"Olëkminsk" (60.3833, 120.4333) 10490
"Pitkyaranta" (61.5667, 31.4833) 10479
"Ivangorod" (59.3750, 28.2053) 10453
"Sylva" (57.3139, 58.7889) 10448
"Zuyevka" (58.4033, 51.1304) 10447
"Sudogda" (55.9500, 40.8667) 10442
"Nevelsk" (46.6500, 141.8667) 10421
"Belaya Kholunitsa" (58.8333, 50.8500) 10406
"Taksimo" (56.3315, 114.8900) 10359
"Zhatay" (62.1641, 129.8431) 10352
"Magas" (43.1667, 44.8167) 10333
"Vytegra" (61.0000, 36.4500) 10324
"Buzdyak" (54.5711, 54.5308) 10323
"Tyukalinsk" (55.8667, 72.2000) 10311
"Argayash" (55.4889, 60.8767) 10293
"Zaozërnyy" (55.9667, 94.7000) 10286
"Kambarka" (56.2667, 54.2000) 10276
"Ertil" (51.8333, 40.8000) 10265
"Luza" (60.6167, 47.2833) 10232
"Mikhaylov" (54.2333, 39.0333) 10174
"Opochka" (56.7167, 28.6500) 10148
"Zavolzhsk" (57.4833, 42.1333) 10121
"Tolbazy" (54.0060, 55.8942) 10114
"Sylva" (58.0333, 56.7681) 10113
"Nogliki" (51.8333, 143.1667) 10098
"Yermolino" (55.2000, 36.6000) 10089
"Digora" (43.1500, 44.1500) 10075
"Kosh-Agach" (49.9927, 88.6760) 10061
"Kargopol" (61.5000, 38.9333) 10055
"Krivodanovka" (55.0914, 82.6489) 10051
"Ikryanoye" (46.0903, 47.7306) 10036
"Vuktyl" (63.8667, 57.3167) 10017
"Dylym" (43.0714, 46.6316) 10014
"Volodarsk" (56.2333, 43.2000) 9972
"Urzhum" (57.1167, 50.0000) 9919
"Zaozërsk" (69.4000, 32.4500) 9915
"Kushnarënkovo" (55.1049, 55.3479) 9870
"Varna" (53.3819, 60.9747) 9869
"Belomorsk" (64.5167, 34.7667) 9861
"Mikun" (62.3500, 50.0667) 9837
"Suntar" (62.1575, 117.6442) 9826
"Serafimovskiy" (54.4242, 53.7964) 9813
"Totma" (59.9833, 42.7667) 9805
"Dorogobuzh" (54.9200, 33.3078) 9793
"Nyurba" (63.2833, 118.3333) 9786
"Alkhan-Yurt" (43.2317, 45.5722) 9783
"Suzdal" (56.4211, 40.4489) 9749
"Lakha Nëvre" (43.6228, 45.3397) 9748
"Novyye Atagi" (43.1328, 45.7797) 9738
"Aleksandrov Gay" (50.1333, 48.5500) 9728
"Nolinsk" (57.5572, 49.9342) 9722
"Shchuchye" (55.2167, 62.7667) 9711
"Kola" (68.8831, 33.0219) 9691
"Pechory" (57.8167, 27.6000) 9670
"Kenzhe" (43.4975, 43.5539) 9669
"Krasnogvardeyskoye" (45.1278, 39.5725) 9617
"Zadonsk" (52.3833, 38.9167) 9614
"Levokumskoye" (44.8225, 44.6611) 9602
"Valerik" (43.1797, 45.4081) 9584
"Bakaly" (55.1764, 53.8026) 9568
"Dombarovskiy" (50.7546, 59.5400) 9556
"Igrim" (63.1933, 64.4194) 9545
"Ashukino" (56.1667, 37.9500) 9544
"Burayevo" (55.8407, 55.4083) 9522
"Soldato-Aleksandrovskoye" (44.2659, 43.7562) 9516
"Skopin" (53.8167, 39.5500) 9511
"Aleksandrovsk-Sakhalinskiy" (50.9000, 142.1500) 9504
"Rudnya" (54.9500, 31.0667) 9484
"Sultan-Yangiyurt" (43.2167, 46.8667) 9458
"Kirs" (59.3372, 52.2455) 9453
"Bezhetsk" (57.7833, 36.7000) 9450
"Shira" (54.4911, 89.9597) 9448
"Aniva" (46.7167, 142.5167) 9445
"Novogagatli" (43.4561, 46.4819) 9442
"Yutsa" (43.9625, 42.9875) 9427
"Krasnoslobodsk" (54.4333, 43.7833) 9397
"Verkhneyarkeyevo" (55.4458, 54.3168) 9384
"Navoloki" (57.4667, 41.9667) 9374
"Kargat" (55.2000, 80.2833) 9370
"Verkhneuralsk" (53.8833, 59.2167) 9340
"Chechen-Aul" (43.2000, 45.7889) 9300
"Belousovo" (55.0917, 36.6667) 9288
"Pokrovsk" (61.4833, 129.1500) 9256
"Zavyalovo" (56.7903, 53.3806) 9243
"Nizhniye Sergi" (56.6667, 59.3000) 9243
"Skovorodino" (53.9833, 123.9333) 9231
"Lesnoy Gorodok" (55.6389, 37.2083) 9226
"Mikhaylovskoye" (43.0997, 44.6317) 9217
"Aniskino" (55.9417, 38.1500) 9208
"Obyachevo" (60.3386, 49.6092) 9206
"Podstepki" (53.5151, 49.1294) 9186
"Mikhaylovka" (43.9500, 132.0167) 9153
"Ust’-Nera" (64.5666, 143.2000) 9148
"Bichura" (50.5864, 107.5975) 9145
"Chadan" (51.2833, 91.5667) 9139
"Minyar" (55.0667, 57.5500) 9128
"Tarusa" (54.7167, 37.1833) 9101
"Kharovsk" (59.9642, 40.1912) 9099
"Vinsady" (44.0817, 42.9606) 9079
"Kuvshinovo" (57.0333, 34.1667) 9068
"Bolokhovo" (54.0833, 37.8167) 9043
"Verkhnyaya Tura" (58.3574, 59.8224) 9039
"Yelnya" (54.5667, 33.1667) 8993
"Dzhalka" (43.3186, 45.9878) 8972
"Mikhaylovsk" (56.4333, 59.1167) 8921
"Suoyarvi" (62.0833, 32.3667) 8920
"Serafimovich" (49.5833, 42.7333) 8914
"Topchikha" (52.8211, 83.1197) 8906
"Kratovo" (55.5911, 38.1803) 8904
"Pudozh" (61.8000, 36.5333) 8897
"Kozlovka" (55.8333, 48.2500) 8866
"Neya" (58.2833, 43.8667) 8865
"Psyzh" (44.2231, 42.0225) 8836
"Povarovo" (56.0767, 37.0622) 8834
"Soltsy" (58.1167, 30.3167) 8803
"Gorodovikovsk" (46.0833, 41.9333) 8798
"Belozërsk" (60.0333, 37.7833) 8786
"Mariinskiy Posad" (56.1167, 47.7167) 8755
"Porkhov" (57.7667, 29.5500) 8743
"Gremyachinsk" (58.5667, 57.8333) 8732
"Volchansk" (59.9333, 60.0500) 8722
"Mrakovo" (52.7139, 56.6269) 8690
"Uglegorsk" (49.0667, 142.0333) 8687
"Gubden" (42.5658, 47.5631) 8627
"Ustyuzhna" (58.8333, 36.4333) 8622
"Verkhoturye" (58.8667, 60.8000) 8612
"Laishevo" (55.4000, 49.5500) 8604
"Verkhniye Achaluki" (43.3469, 44.6975) 8590
"Verkhniy Mamon" (50.1678, 40.3967) 8561
"Pochinok" (54.4000, 32.4500) 8545
"Novoselitskoye" (44.7508, 43.4369) 8544
"Dubovskoye" (47.4092, 42.7575) 8544
"Lipki" (53.9500, 37.7000) 8541
"Karmaskaly" (54.3694, 56.1778) 8540
"Obluchye" (49.0000, 131.0500) 8540
"Chermen" (43.1500, 44.7333) 8508
"Biryusinsk" (55.9500, 97.8167) 8497
"Bolgar" (54.9667, 49.0333) 8476
"Vetluga" (57.8556, 45.7811) 8455
"Elin-Yurt" (43.6717, 44.9602) 8446
"Yadrin" (55.9500, 46.2000) 8387
"Yuryevets" (57.3167, 43.1000) 8378
"Ketovo" (55.3525, 65.3281) 8310
"Olovyannaya" (50.9500, 115.5666) 8247
"Sychëvka" (55.8253, 34.2736) 8220
"Kosterëvo" (55.9333, 39.6333) 8216
"Novaya Ladoga" (60.1000, 32.3000) 8203
"Komsomolsk" (57.0333, 40.3833) 8189
"Khomutovo" (52.4758, 104.4156) 8184
"Verkhnyaya Khava" (51.8406, 39.9414) 8154
"Sarmakovo" (43.7397, 43.1894) 8128
"Medyn" (54.9667, 35.8667) 8109
"Endirey" (43.1681, 46.6529) 8105
"Tolstoy-Yurt" (43.4456, 45.7789) 8097
"Olonets" (60.9833, 32.9667) 8091
"Zapadnaya Dvina" (56.2667, 32.0833) 8089
"Melnikovo" (56.5500, 84.0667) 8048
"Grabovo" (53.3794, 45.0619) 8048
"Taseyevo" (57.2119, 94.8958) 8038
"Krasnokholmskiy" (55.9861, 55.0448) 8021
"Insar" (53.8667, 44.3667) 8010
"Kozhevnikovo" (56.2500, 83.9667) 8009
"Nikolsk" (59.5333, 45.4500) 7996
"Abatskoye" (56.2872, 70.4542) 7959
"Krasnyy Yar" (53.4975, 50.3889) 7958
"Myskhako" (44.6592, 37.7631) 7954
"Mamonovo" (54.4667, 19.9333) 7953
"Tukan" (53.8419, 57.4611) 7946
"Vityazevo" (44.9833, 37.2667) 7936
"Molochnoye" (59.2914, 39.6683) 7919
"Gorodishche" (53.2667, 45.7000) 7885
"Arkhipo-Osipovka" (44.3630, 38.5337) 7853
"Staraya Sunzha" (43.3356, 45.7439) 7843
"Baksanenok" (43.6897, 43.6547) 7843
"Bol’sheust’ikinskoye" (55.9453, 58.2679) 7839
"Makushino" (55.2000, 67.2500) 7811
"Malaya Purga" (56.5542, 52.9953) 7768
"Benoy-Yurt" (43.6931, 45.0503) 7738
"Korkmaskala" (43.0281, 47.2919) 7722
"Dolgoderevenskoye" (55.3444, 61.3422) 7700
"Belinskiy" (52.9667, 43.4167) 7694
"Staritsa" (56.5075, 34.9356) 7676
"Askarovo" (53.3333, 58.5167) 7634
"Chërnyy Yar" (48.0603, 46.1086) 7621
"Yenotayevka" (47.2436, 47.0328) 7616
"Mglin" (53.0611, 32.8483) 7578
"Kabardinka" (44.6511, 37.9386) 7550
"Dno" (57.8333, 29.9667) 7525
"Ivanovskoye" (44.5772, 41.8697) 7518
"Kirgiz-Miyaki" (53.6345, 54.8008) 7473
"Kirillov" (59.8667, 38.3833) 7468
"Salair" (54.2333, 85.8000) 7452
"Kargasok" (59.0578, 80.8711) 7424
"Malmyzh" (56.5167, 50.6667) 7422
"Isyangulovo" (52.1925, 56.5803) 7418
"Sovetsk" (53.9333, 37.6333) 7405
"Ivolginsk" (51.7492, 107.2836) 7382
"Uyskoye" (54.3750, 60.0000) 7352
"Lakhdenpokhya" (61.5167, 30.2000) 7294
"Petropavlovka" (50.6080, 105.3218) 7277
"Kurush" (43.3850, 46.7592) 7277
"Barvikha" (55.7411, 37.2761) 7213
"Yakshur-Bod’ya" (57.1883, 53.1592) 7211
"Krasnogvardeyskoye" (50.6500, 38.4000) 7205
"Novolakskoye" (43.1167, 46.4833) 7159
"Dalakovo" (43.2375, 44.5897) 7158
